forecast_date,inventory_week_start,store_id,store_name,region,product_id,product_name,category,supplier_id,supplier_name,supplier_lead_time_days,current_stock,forecast_demand,safety_stock,reorder_point,average_weekly_demand,projected_stock_after_forecast,weeks_of_supply,risk_status,risk_reason
2026-01-05,2025-12-29,S001,North Flagship 1,North,P001,Fresh Milk 1L,Perishables,SUP001,Perishables Supplier 1,13,42,66.56,28,170,62.5,-24.560000000000002,0.672,STOCKOUT_RISK,Forecast demand meets or exceeds current stock
2026-01-05,2025-12-29,S001,North Flagship 1,North,P002,Brown Bread,Perishables,SUP002,Perishables Supplier 2,21,227,33.82,15,121,35.75,193.18,6.34965034965035,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S001,North Flagship 1,North,P005,Butter 100g,Perishables,SUP001,Perishables Supplier 1,13,316,75.59,32,195,79.75,240.41,3.9623824451410656,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S001,North Flagship 1,North,P006,Fresh Eggs (12),Perishables,SUP002,Perishables Supplier 2,21,184,45.7,21,164,53.5,138.3,3.439252336448598,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S001,North Flagship 1,North,P007,Instant Noodles Pack,Packaged Foods,SUP003,Packaged Supplier 1,10,85,35.07,16,66,39.0,49.93,2.1794871794871793,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S001,North Flagship 1,North,P008,Breakfast Cereal,Packaged Foods,SUP004,Packaged Supplier 2,21,189,54.69,22,179,62.5,134.31,3.024,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S001,North Flagship 1,North,P009,Biscuits Family Pack,Packaged Foods,SUP003,Packaged Supplier 1,10,50,42.59,17,68,38.75,7.409999999999997,1.2903225806451613,LOW_STOCK,Projected stock after next-week demand falls below safety stock; Current stock is at or below reorder point
2026-01-05,2025-12-29,S001,North Flagship 1,North,P011,Pasta 500g,Packaged Foods,SUP003,Packaged Supplier 1,10,68,60.17,29,116,76.0,7.829999999999998,0.8947368421052632,LOW_STOCK,Projected stock after next-week demand falls below safety stock; Current stock is at or below reorder point
2026-01-05,2025-12-29,S001,North Flagship 1,North,P012,Ketchup 500g,Packaged Foods,SUP004,Packaged Supplier 2,21,0,25.07,11,89,27.5,-25.07,0.0,STOCKOUT_RISK,Current stock is zero
2026-01-05,2025-12-29,S001,North Flagship 1,North,P013,Cola 2L,Beverages,SUP005,Beverages Supplier 1,19,375,35.14,18,143,43.0,339.86,8.720930232558139,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S001,North Flagship 1,North,P014,Orange Juice 1L,Beverages,SUP006,Beverages Supplier 2,15,62,45.02,20,118,49.5,16.979999999999997,1.2525252525252526,LOW_STOCK,Projected stock after next-week demand falls below safety stock; Current stock is at or below reorder point
2026-01-05,2025-12-29,S001,North Flagship 1,North,P015,Mineral Water 1L,Beverages,SUP005,Beverages Supplier 1,19,68,53.01,26,205,51.0,14.990000000000002,1.3333333333333333,LOW_STOCK,Projected stock after next-week demand falls below safety stock; Current stock is at or below reorder point
2026-01-05,2025-12-29,S001,North Flagship 1,North,P016,Energy Drink Can,Beverages,SUP006,Beverages Supplier 2,15,526,74.61,37,223,94.5,451.39,5.5661375661375665,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S001,North Flagship 1,North,P018,Green Tea Box,Beverages,SUP006,Beverages Supplier 2,15,49,94.33,37,221,100.0,-45.33,0.49,STOCKOUT_RISK,Forecast demand meets or exceeds current stock
