store_id,store_name,region,product_id,product_name,category,supplier_id,week_start,closing_stock,reorder_point,safety_stock,stockout_flag,inventory_value
S001,North Flagship 1,North,P001,Fresh Milk 1L,Perishables,SUP001,2025-12-29,42,170,28,0,3143.28
S001,North Flagship 1,North,P002,Brown Bread,Perishables,SUP002,2025-12-29,227,121,15,0,38347.11
S001,North Flagship 1,North,P005,Butter 100g,Perishables,SUP001,2025-12-29,316,195,32,0,70524.88
S001,North Flagship 1,North,P006,Fresh Eggs (12),Perishables,SUP002,2025-12-29,184,164,21,0,9409.76
S001,North Flagship 1,North,P007,Instant Noodles Pack,Packaged Foods,SUP003,2025-12-29,85,66,16,0,40685.25
S001,North Flagship 1,North,P008,Breakfast Cereal,Packaged Foods,SUP004,2025-12-29,189,179,22,0,13583.43
S001,North Flagship 1,North,P009,Biscuits Family Pack,Packaged Foods,SUP003,2025-12-29,50,68,17,0,6511.50
S001,North Flagship 1,North,P011,Pasta 500g,Packaged Foods,SUP003,2025-12-29,68,116,29,0,26515.24
S001,North Flagship 1,North,P012,Ketchup 500g,Packaged Foods,SUP004,2025-12-29,0,89,11,1,0.00
S001,North Flagship 1,North,P013,Cola 2L,Beverages,SUP005,2025-12-29,375,143,18,0,26640.00
S001,North Flagship 1,North,P014,Orange Juice 1L,Beverages,SUP006,2025-12-29,62,118,20,0,15439.24
S001,North Flagship 1,North,P015,Mineral Water 1L,Beverages,SUP005,2025-12-29,68,205,26,0,16009.24
S001,North Flagship 1,North,P016,Energy Drink Can,Beverages,SUP006,2025-12-29,526,223,37,0,205092.66
S001,North Flagship 1,North,P018,Green Tea Box,Beverages,SUP006,2025-12-29,49,221,37,0,9975.42
S001,North Flagship 1,North,P019,Dish Soap 500ml,Household Essentials,SUP007,2025-12-29,189,95,24,0,119765.52
S001,North Flagship 1,North,P020,Laundry Detergent 1kg,Household Essentials,SUP008,2025-12-29,68,73,12,0,26867.48
S001,North Flagship 1,North,P022,Trash Bags (30 pack),Household Essentials,SUP008,2025-12-29,452,227,38,0,164754.00
S001,North Flagship 1,North,P023,All-Purpose Cleaner,Household Essentials,SUP007,2025-12-29,163,117,29,0,56049.18
S001,North Flagship 1,North,P025,Toothpaste 100g,Personal Care,SUP009,2025-12-29,231,167,21,0,88216.59
S001,North Flagship 1,North,P027,Hand Sanitizer 200ml,Personal Care,SUP009,2025-12-29,356,228,29,0,131720.00
S001,North Flagship 1,North,P028,Shaving Cream,Personal Care,SUP010,2025-12-29,475,210,35,0,71444.75
S001,North Flagship 1,North,P029,Deodorant Spray,Personal Care,SUP009,2025-12-29,113,95,12,0,58565.64
S002,North Standard 2,North,P001,Fresh Milk 1L,Perishables,SUP001,2025-12-29,193,112,19,0,14444.12
S002,North Standard 2,North,P002,Brown Bread,Perishables,SUP002,2025-12-29,262,79,10,0,44259.66
S002,North Standard 2,North,P003,Paneer 200g,Perishables,SUP001,2025-12-29,112,92,15,0,3800.16
