month,is_complete_month,synthetic_revenue,synthetic_orders,units_sold,synthetic_aov_proxy,average_selling_price,mom_revenue_growth,mom_units_growth
2025-01,False,23976381.29,10691,50246,2242.67,477.18,,
2025-02,True,26848578.14,11936,56509,2249.38,475.12,,
2025-03,True,30929359.38,13611,64794,2272.38,477.35,0.15199245,0.14661381
2025-04,True,30046131.38,13336,62823,2253.01,478.27,-0.02855630,-0.03041948
2025-05,True,30719789.85,13414,63932,2290.13,480.51,0.02242081,0.01765277
2025-06,True,28394861.65,12544,59508,2263.62,477.16,-0.07568177,-0.06919852
2025-07,True,27861890.94,12414,58393,2244.39,477.14,-0.01876997,-0.01873698
2025-08,True,26123071.64,11746,54849,2224.00,476.27,-0.06240852,-0.06069221
2025-09,True,24774222.49,11237,52027,2204.70,476.18,-0.05163440,-0.05145035
2025-10,True,31696260.43,13921,66588,2276.87,476.01,0.27940485,0.27987391
2025-11,True,24720918.60,11226,51615,2202.11,478.95,-0.22006829,-0.22486034
2025-12,True,26967987.15,12277,56653,2196.63,476.02,0.09089745,0.09760728
2026-01,False,3568367.05,1596,7462,2235.82,478.21,,
