product_id,product_name,category,supplier_id,synthetic_revenue,units_sold,synthetic_orders,average_selling_price,stockout_rate,lost_sales_units,estimated_lost_sales_value,spoilage_units,estimated_spoilage_cost,approx_inventory_turnover,revenue_rank,units_rank
P001,Fresh Milk 1L,Perishables,SUP001,3619956.06,27384,5716,132.19,0.00524476,11,1491.93,4574,342318.16,16.04489065,25,11
P002,Brown Bread,Perishables,SUP002,3946355.71,13905,3235,283.81,0.01748252,70,20384.70,4813,813060.09,8.19247895,24,27
P003,Paneer 200g,Perishables,SUP001,1044036.73,21286,4613,49.05,0.01398601,144,7244.64,3396,115226.28,15.84119760,30,16
P004,Fresh Curd 500g,Perishables,SUP002,4494054.02,32305,6535,139.11,0.02797203,389,55494.74,12355,1202141.50,8.30011364,22,6
P005,Butter 100g,Perishables,SUP001,10642143.62,31591,6500,336.87,0.00874126,76,26258.00,8120,1812221.60,17.18644529,13,9
P006,Fresh Eggs (12),Perishables,SUP002,1583521.40,20041,4401,79.01,0.02447552,126,10208.52,7697,393624.58,8.25660365,29,18
P007,Instant Noodles Pack,Packaged Foods,SUP003,10827891.89,14022,3205,772.21,0.02447552,67,53078.07,6,2871.90,32.17758164,12,26
P008,Breakfast Cereal,Packaged Foods,SUP004,2371607.14,20584,4434,115.22,0.01223776,77,9099.86,295,21201.65,7.53260426,27,17
P009,Biscuits Family Pack,Packaged Foods,SUP003,2753762.52,14590,3403,188.74,0.03846154,141,27307.47,0,0.00,31.44005636,26,25
P010,Frozen Peas 500g,Packaged Foods,SUP004,13943334.34,16220,3635,859.64,0.00874126,33,29084.88,341,191897.75,7.91412540,10,24
P011,Pasta 500g,Packaged Foods,SUP003,15913040.54,27263,5633,583.69,0.03846154,280,167591.20,0,0.00,31.86003551,7,12
P012,Ketchup 500g,Packaged Foods,SUP004,4571329.36,10790,2732,423.66,0.01048951,62,26936.52,95,24184.15,7.11804631,21,29
P013,Cola 2L,Beverages,SUP005,1799631.67,18067,3969,99.61,0.01923077,170,17372.30,63,4475.52,7.20137361,28,22
P014,Orange Juice 1L,Beverages,SUP006,7665407.75,18787,4154,408.02,0.01748252,177,74069.19,313,77943.26,14.17598746,18,20
P015,Mineral Water 1L,Beverages,SUP005,8951044.62,22209,4724,403.04,0.01923077,198,81817.56,701,165036.43,7.41735925,16,15
P016,Energy Drink Can,Beverages,SUP006,20807246.37,37513,7502,554.67,0.02622378,413,234881.36,538,209771.58,13.69337470,5,1
P017,Instant Coffee 100g,Beverages,SUP005,4332090.13,34438,7143,125.79,0.01223776,172,22188.00,1338,99921.84,7.71404079,23,4
P018,Green Tea Box,Beverages,SUP006,10903014.25,31709,6439,343.85,0.01573427,203,71614.34,554,112783.32,15.05416830,11,8
P019,Dish Soap 500ml,Household Essentials,SUP007,22345083.66,22979,4913,972.41,0.03496503,168,167529.60,0,0.00,31.68676744,3,14
P020,Laundry Detergent 1kg,Household Essentials,SUP008,6718712.25,10230,2538,656.77,0.01048951,13,8766.42,0,0.00,16.03158339,20,30
P021,Toilet Paper (6 pack),Household Essentials,SUP007,45750683.88,35394,7149,1292.61,0.02622378,333,441461.43,0,0.00,32.92052874,1,3
P022,Trash Bags (30 pack),Household Essentials,SUP008,19777544.60,36875,7466,536.34,0.00524476,31,17050.93,0,0.00,16.12198054,6,2
P023,All-Purpose Cleaner,Household Essentials,SUP007,15667733.25,25913,5390,604.63,0.02622378,215,133312.90,0,0.00,32.80126582,8,13
P024,Paper Towels (2 pack),Household Essentials,SUP008,25924996.71,18303,4011,1416.43,0.00524476,47,68291.47,0,0.00,16.17642260,2,21
P025,Toothpaste 100g,Personal Care,SUP009,10586882.18,19364,4287,546.73,0.01398601,47,26359.48,252,96236.28,7.74720904,14,19
P026,Body Wash 250ml,Personal Care,SUP010,20815373.83,34322,6967,606.47,0.01923077,266,165470.62,261,105947.73,14.59232914,4,5
P027,Hand Sanitizer 200ml,Personal Care,SUP009,15015848.95,27674,5768,542.60,0.01398601,103,57326.71,1094,404780.00,7.60029788,9,10
P028,Shaving Cream,Personal Care,SUP010,6767139.10,31826,6557,212.63,0.01223776,68,14822.64,0,0.00,15.25371676,19,7
P029,Deodorant Spray,Personal Care,SUP009,9018681.81,11995,2915,751.87,0.00874126,73,56337.02,7,3627.96,7.48643718,15,28
P030,Hair Oil 200ml,Personal Care,SUP010,8069671.65,17820,4015,452.84,0.01223776,65,30185.35,0,0.00,14.93905978,17,23
