store_id,store_name,region,store_type,synthetic_revenue,units_sold,synthetic_orders,synthetic_aov_proxy,stockout_rate,latest_inventory_units,latest_inventory_value
S001,North Flagship 1,North,Flagship,29782093.59,69586,14071,2116.56,0.01136364,4288,1199260.17
S002,North Standard 2,North,Standard,23108051.53,48469,10221,2260.84,0.02097902,4806,1096605.70
S003,North Standard 3,North,Standard,19403643.64,39858,8423,2303.65,0.02029915,3515,943485.39
S004,North Express 4,North,Express,10039799.28,22937,5665,1772.25,0.02257525,1738,454472.34
S005,South Flagship 5,South,Flagship,31916553.07,70188,14194,2248.59,0.01660839,6452,1503976.12
S006,South Standard 6,South,Standard,26717780.15,53281,11291,2366.29,0.01442308,3826,1174472.25
S007,South Standard 7,South,Standard,14272548.69,29327,6255,2281.78,0.01794872,2430,688607.89
S008,South Express 8,South,Express,13399818.80,24651,5923,2262.34,0.01739927,1593,453977.62
S009,East Flagship 9,East,Flagship,41303881.90,77740,15554,2655.52,0.02272727,7285,2103452.14
S010,East Standard 10,East,Standard,17778628.87,39770,8504,2090.62,0.01518219,2992,858415.85
S011,East Standard 11,East,Standard,20663219.25,46512,10081,2049.72,0.01201923,3077,736072.41
S012,East Express 12,East,Express,10950466.67,22692,5505,1989.19,0.01538462,2125,504357.99
S013,West Flagship 13,West,Flagship,29835883.57,64546,13152,2268.54,0.02403846,3741,1291462.70
S014,West Standard 14,West,Standard,18639664.23,33130,7212,2584.53,0.01388889,2709,848852.25
S015,West Standard 15,West,Standard,20670412.42,42851,9141,2261.29,0.01835664,3547,1047172.86
S016,West Express 16,West,Express,8145374.33,19861,4757,1712.29,0.02029915,1769,390585.19
