order_id,order_date,week_start,store_id,product_id,quantity,catalog_unit_price,transaction_unit_price,revenue,synthetic_flag
ORD000000001,2025-01-11,2025-01-06,S001,P001,1,135.63,131.19,131.19,1
ORD000000002,2025-01-09,2025-01-06,S001,P001,5,135.63,129.80,649.00,1
ORD000000003,2025-01-10,2025-01-06,S001,P001,1,135.63,134.27,134.27,1
ORD000000004,2025-01-09,2025-01-06,S001,P001,1,135.63,129.01,129.01,1
ORD000000005,2025-01-11,2025-01-06,S001,P001,8,135.63,130.76,1046.08,1
ORD000000006,2025-01-09,2025-01-06,S001,P001,8,135.63,134.76,1078.08,1
ORD000000007,2025-01-09,2025-01-06,S001,P001,9,135.63,132.24,1190.16,1
ORD000000008,2025-01-07,2025-01-06,S001,P001,4,135.63,129.34,517.36,1
ORD000000009,2025-01-10,2025-01-06,S001,P001,8,135.63,132.90,1063.20,1
ORD000000010,2025-01-09,2025-01-06,S001,P001,9,135.63,132.62,1193.58,1
ORD000000011,2025-01-07,2025-01-06,S001,P001,5,135.63,135.01,675.05,1
ORD000000012,2025-01-12,2025-01-06,S001,P001,6,135.63,135.21,811.26,1
ORD000000013,2025-01-11,2025-01-06,S001,P001,9,135.63,133.76,1203.84,1
ORD000000014,2025-01-07,2025-01-06,S001,P001,2,135.63,130.49,260.98,1
ORD000000015,2025-01-10,2025-01-06,S001,P001,1,135.63,133.23,133.23,1
ORD000000016,2025-01-19,2025-01-13,S001,P001,1,135.63,132.61,132.61,1
ORD000000017,2025-01-17,2025-01-13,S001,P001,9,135.63,130.35,1173.15,1
ORD000000018,2025-01-14,2025-01-13,S001,P001,8,135.63,133.16,1065.28,1
ORD000000019,2025-01-16,2025-01-13,S001,P001,5,135.63,135.35,676.75,1
ORD000000020,2025-01-14,2025-01-13,S001,P001,6,135.63,130.58,783.48,1
ORD000000021,2025-01-19,2025-01-13,S001,P001,7,135.63,130.57,913.99,1
ORD000000022,2025-01-19,2025-01-13,S001,P001,4,135.63,132.85,531.40,1
ORD000000023,2025-01-19,2025-01-13,S001,P001,4,135.63,133.12,532.48,1
ORD000000024,2025-01-16,2025-01-13,S001,P001,1,135.63,130.23,130.23,1
ORD000000025,2025-01-16,2025-01-13,S001,P001,2,135.63,134.75,269.50,1
ORD000000026,2025-01-16,2025-01-13,S001,P001,7,135.63,133.39,933.73,1
ORD000000027,2025-01-16,2025-01-13,S001,P001,3,135.63,131.09,393.27,1
ORD000000028,2025-01-16,2025-01-13,S001,P001,10,135.63,134.54,1345.40,1
